query,vcf2db,cutevariant,VCFdbR-table,VCFdbR-file,vcf-miner
Q1,0.116464,0.013024,71.565254,15.309148,58.191074
Q2,0.191815,654.162981,17.543342,14.202261,1160.894801
Q3,20.245915,168.877041,125.297715,30.588233,608.662019
Q4,8.501740,2.070868,73.377800,27.798483,11.409327
Q5,45.170770,73.175306,91.191166,28.160424,717.440900
Q6,316.387384,740.903544,136.938130,66.226053,
Q7,124.751480,71.847288,146.569562,62.067940,726.425283
