query,vcf2db,cutevariant,VCFdbR-table,VCFdbR-file,vcf-miner
Q1,0.049701,0.004224,2.010185,2.516205,14.464749
Q2,0.096831,11.050308,0.459901,0.397994,545.243483
Q3,8.975502,7.082344,22.080731,21.472316,574.776941
Q4,7.889095,1.943529,3.647452,11.895205,3.051471
Q5,43.827933,6.609466,13.450683,13.936942,168.720753
Q6,210.954880,49.752763,57.030224,57.643691,
Q7,120.423768,4.990202,54.111866,55.084139,170.283623
